categorie,Marque et annee,Prix,Adresse,Kilometrage,Boite_vitesse,Carburant,Reference
motos,Haouju Haouju 2019,250 000FCFA,"Fann,Dakar",1 km,Non spécifié,Non spécifié,137158
motos,Bajaj CT125 2022,675 000FCFA,"Hlm,Dakar",1 km,Non spécifié,Non spécifié,137156
motos,Kymco bw 2017,350 000FCFA,"Guédiawaye,Dakar",1 km,Non spécifié,Non spécifié,137157
motos,BMW G 2018,5 750 000FCFA,"Plateau,Dakar",18 km,Non spécifié,Non spécifié,137160
motos,Yamaha CX300 2017,5 500 000FCFA,"Parcelles Assainies,Dakar",1 km,Non spécifié,Non spécifié,137161
motos,Piaggio Bravo 2016,250 000FCFA,"Ouakam,Dakar",1 km,Non spécifié,Non spécifié,137162
motos,Suzuki TL 2019,2 500 000FCFA,"Plateau,Dakar",24 km,Non spécifié,Non spécifié,137125
motos,Piaggio X9 2015,70 000FCFA,"Bargny,Dakar",5 km,Non spécifié,Non spécifié,137126
motos,Cagiva cayon 2021,180 000FCFA,"Malika,Dakar",1 km,Non spécifié,Non spécifié,137127
motos,Yamaha NMAX 2012,450 000FCFA,"Hann Maristes,Dakar",160 km,Non spécifié,Non spécifié,137097
motos,Yamaha X-Max 2015,700 000FCFA,"Nord Foire,Dakar",1 km,Non spécifié,Non spécifié,137098
motos,BMW GS 2020,6 000 000FCFA,"Plateau,Dakar",20 km,Non spécifié,Non spécifié,137096
motos,Honda PS 2012,380 000FCFA,"Yoff,Dakar",125 km,Non spécifié,Non spécifié,137094
motos,Honda FJS Silver Wing 2019,1 300 000FCFA,"Almadies,Dakar",1 km,Non spécifié,Non spécifié,137093
motos,Honda CB 2019,625 000FCFA,"Cambérène,Dakar",1 km,Non spécifié,Non spécifié,137091
motos,Yamaha GT 2009,290 000FCFA,"Mermoz Sacré-Coeur,Dakar",50 km,Non spécifié,Non spécifié,137090
motos,Honda SH 2008,500 000FCFA,"Malika,Dakar",40000 km,Non spécifié,Non spécifié,136993
motos,Honda CB 2018,250 000FCFA,"Mamelles,Dakar",35000 km,Non spécifié,Non spécifié,136928
motos,Yamaha Tracer 2018,2 500 000FCFA,"Almadies,Dakar",1 km,Non spécifié,Non spécifié,136922
motos,Honda AFS Wave 2021,2 200 000FCFA,"Parcelles Assainies,Dakar",3700 km,Non spécifié,Non spécifié,136923
motos,Yamaha yamaha-fazer-600 2020,3 000 000FCFA,"Parcelles Assainies,Dakar",6000 km,Non spécifié,Non spécifié,136924
motos,BMW GS 2021,3 500 000FCFA,"Mbour,Thiès",11000 km,Non spécifié,Non spécifié,136925
motos,Honda SH 2020,320 000FCFA,"Nord Foire,Dakar",125 km,Non spécifié,Non spécifié,136926
motos,BMW C 2017,3 400 000FCFA,"Cité Avion,Dakar",27000 km,Non spécifié,Non spécifié,136927
motos,Piaggio Gilera 2009,550 000FCFA,"Gibraltar,Dakar",Non spécifié,Non spécifié,Non spécifié,136847
motos,Yamaha NMAX 2017,950 000FCFA,"Plateau,Dakar",1 km,Non spécifié,Non spécifié,136827
motos,BMW F 2019,2 700 000FCFA,"Hann Maristes,Dakar",11101 km,Non spécifié,Non spécifié,136828
motos,Yamaha GRIZZLY-550 2008,3 380 000FCFA,"Mbour,Thiès",15000 km,Non spécifié,Non spécifié,136719
motos,Kymco Dink 2007,375 000FCFA,"Pikine Nord,Dakar",1 km,Non spécifié,Non spécifié,136687
motos,Kymco Dink 2022,475 000FCFA,"Pikine Nord,Dakar",1 km,Non spécifié,Non spécifié,136688
motos,Honda XL Transalp 1995,1 400 000FCFA,"Grand-Yoff,Dakar",77160 km,Non spécifié,Non spécifié,136618
motos,Yamaha Tracer 2020,2 500 000FCFA,"Tivaouane Peulh,Dakar",45000 km,Non spécifié,Non spécifié,136571
motos,Honda CBR 2017,1 500 000FCFA,"VDN,Dakar",1 km,Non spécifié,Non spécifié,136466
motos,Piaggio NRG 2019,250 000FCFA,"Hann Bel-Air,Dakar",1 km,Non spécifié,Non spécifié,136390
motos,Honda SH 2000,450 000FCFA,"Dieuppeul Derklé,Dakar",47304 km,Non spécifié,Non spécifié,136366
motos,Honda FES Pantheon 2006,300 000FCFA,"Médina,Dakar",1 km,Non spécifié,Non spécifié,136356
motos,KTM jakarta 2022,400 000FCFA,"Dieuppeul Derklé,Dakar",580 km,Non spécifié,Non spécifié,136299
motos,Yamaha T-Max 2021,NC,"Hlm,Dakar",Non spécifié,Non spécifié,Non spécifié,136298
motos,Honda X-ADV 2022,NC,"Hlm,Dakar",Non spécifié,Non spécifié,Non spécifié,136297
motos,Honda X-ADV 2020,3 500 000FCFA,"Plateau,Dakar",19000 km,Non spécifié,Non spécifié,136296
motos,Honda SH 2010,600 000FCFA,"Plateau,Dakar",1 km,Non spécifié,Non spécifié,136289
motos,Yamaha Iron 2016,2 750 000FCFA,"Hann Maristes,Dakar",1 km,Non spécifié,Non spécifié,136291
motos,Piaggio Beverly 2020,1 400 000FCFA,"Liberté 6,Dakar",1 km,Non spécifié,Non spécifié,136243
motos,Yamaha Majesty 2006,750 000FCFA,"Nord Foire,Dakar",49000 km,Non spécifié,Non spécifié,136196
motos,Yamaha X-Max 2020,1 600 000FCFA,"Liberté 6,Dakar",1 km,Non spécifié,Non spécifié,136156
motos,Piaggio Vespa 2020,550 000FCFA,"Mbao,Dakar",1 km,Non spécifié,Non spécifié,136117
motos,Honda NSS Forza 2020,1 700 000FCFA,"Pikine Ouest,Dakar",29150 km,Non spécifié,Non spécifié,136118
motos,Yamaha X-Max 2012,700 000FCFA,"Thiès,Thiès",1 km,Non spécifié,Non spécifié,136091
motos,BMW R1150 2006,1 850 000FCFA,"Yoff,Dakar",1 km,Non spécifié,Non spécifié,136089
motos,Yamaha X-Max 2019,1 100 000FCFA,"Liberté 6,Dakar",1 km,Non spécifié,Non spécifié,136045
motos,Kawasaki KLR-650 2019,1 850 000FCFA,"Almadies,Dakar",1 km,Non spécifié,Non spécifié,136043
motos,Piaggio Carnaby 2008,350 000FCFA,"Mbour,Thiès",1 km,Non spécifié,Non spécifié,136009
